SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,203507,0022400955,"MAR 13, 2025",MIL vs. LAL,W,30,8,17,0.471,0,1,0.0,8,13,0.615,2,10,12,9,1,1,3,1,24,22,1
22024,203507,0022400942,"MAR 11, 2025",MIL @ IND,L,34,9,14,0.643,0,1,0.0,1,3,0.333,2,15,17,7,0,1,3,3,19,10,1
22024,203507,0022400922,"MAR 09, 2025",MIL vs. CLE,L,34,13,24,0.542,0,0,0.0,4,8,0.5,4,5,9,3,2,0,4,1,30,-13,1
22024,203507,0022400917,"MAR 08, 2025",MIL vs. ORL,L,35,15,23,0.652,0,0,0.0,7,11,0.636,4,7,11,4,1,0,1,1,37,2,1
22024,203507,0022400897,"MAR 05, 2025",MIL vs. DAL,W,25,13,20,0.65,0,0,0.0,6,6,1.0,4,11,15,4,1,0,3,3,32,30,1
22024,203507,0022400884,"MAR 04, 2025",MIL @ ATL,W,34,9,18,0.5,0,2,0.0,8,12,0.667,3,9,12,10,1,0,3,2,26,9,1
22024,203507,0022400865,"MAR 01, 2025",MIL @ DAL,W,32,9,14,0.643,0,1,0.0,11,13,0.846,2,7,9,9,1,2,0,2,29,22,1
22024,203507,0022400846,"FEB 27, 2025",MIL vs. DEN,W,33,11,23,0.478,1,2,0.5,5,8,0.625,2,17,19,7,0,1,2,3,28,8,1
22024,203507,0022400831,"FEB 25, 2025",MIL @ HOU,L,32,9,17,0.529,0,1,0.0,9,12,0.75,1,9,10,6,1,1,1,2,27,1,1
22024,203507,0022400817,"FEB 23, 2025",MIL vs. MIA,W,32,11,18,0.611,1,2,0.5,0,0,0.0,3,13,16,7,1,1,3,2,23,16,1
22024,203507,0022400799,"FEB 21, 2025",MIL @ WAS,W,19,6,9,0.667,0,0,0.0,6,11,0.545,2,4,6,3,1,1,7,6,18,1,1
